time,χ,ϕ,p,e
5209.13,3.1415927,0.0,11.866691,0.085
5210.702,3.150847,0.024966974,11.859545,0.085232295
5212.275,3.1601205,0.049961332,11.852409,0.08545129
5213.847,3.1694074,0.07496865,11.845288,0.0856571
5215.4194,3.1787114,0.09999778,11.838181,0.08585002
5216.992,3.188036,0.12505761,11.831082,0.086030364
5218.5645,3.197375,0.15013365,11.824,0.086198255
5220.137,3.2067354,0.1752426,11.816928,0.08635403
5221.7095,3.2161117,0.20036994,11.809871,0.086497836
5223.2817,3.2255065,0.2255245,11.802828,0.08662993
5224.8545,3.234924,0.25071517,11.7957945,0.086750574
5226.427,3.2443585,0.27592736,11.788777,0.08685991
5227.999,3.253813,0.30116993,11.781774,0.08695821
5229.572,3.2632914,0.32645184,11.774781,0.0870457
5231.144,3.2727876,0.3517584,11.767805,0.08712256
5232.7163,3.2823052,0.37709844,11.760842,0.087189004
5234.289,3.2918477,0.40248093,11.753891,0.087245256
5235.8613,3.3014095,0.4278911,11.746956,0.08729148
5237.434,3.3109968,0.45334572,11.740032,0.087327905
5239.0063,3.320604,0.47883004,11.733125,0.08735472
5240.5786,3.3302348,0.504353,11.726232,0.087372124
5242.1514,3.3398924,0.5299234,11.719351,0.08738031
5243.7236,3.349571,0.55552644,11.712486,0.087379456
5245.296,3.3592741,0.58117104,11.705635,0.087369755
5246.8687,3.3690054,0.6068661,11.698797,0.08735137
5248.441,3.378759,0.6325967,11.691976,0.0873245
5250.013,3.3885381,0.6583717,11.685168,0.087289326
5251.586,3.3983464,0.68420017,11.678373,0.08724601
5253.158,3.408178,0.7100669,11.671595,0.08719474
5254.731,3.4180396,0.735989,11.664829,0.08713565
5256.303,3.4279253,0.7619512,11.65808,0.087068945
5257.8755,3.4378386,0.7879626,11.651346,0.086994775
5259.448,3.4477828,0.81403214,11.644625,0.08691328
5261.0205,3.4577522,0.8401445,11.637919,0.08682467
5262.593,3.4677505,0.8663088,11.63123,0.08672907
5264.1655,3.4777806,0.892534,11.624553,0.08662661
5265.738,3.4878373,0.9188047,11.617893,0.0865175
5267.31,3.4979234,0.94512993,11.611248,0.08640184
5268.883,3.508043,0.97151875,11.604616,0.08627977
5270.455,3.51819,0.99795574,11.5980015,0.08615151
5272.0273,3.5283675,1.0244498,11.591401,0.086017154
5273.6,3.5385795,1.0510101,11.584814,0.08587679
5275.1724,3.5488198,1.0776211,11.578245,0.08573066
5276.745,3.5590951,1.1043,11.571688,0.085578784
5278.3174,3.5693994,1.1310313,11.565148,0.08542142
5279.8896,3.5797362,1.1578238,11.558624,0.08525864
5281.4624,3.590109,1.1846868,11.552114,0.085090525
5283.0347,3.6005123,1.2116045,11.545619,0.08491731
5284.607,3.6109486,1.238586,11.539141,0.08473906
5286.1797,3.6214223,1.2656405,11.532675,0.08455584
5287.752,3.6319268,1.2927519,11.526227,0.084367886
5289.324,3.642466,1.3199294,11.5197935,0.084175274
5290.897,3.6530433,1.3471824,11.513373,0.08397806
5292.469,3.6636524,1.3744946,11.506971,0.08377647
5294.042,3.6743004,1.4018837,11.500582,0.083570495
5295.6143,3.684981,1.4293334,11.49421,0.083360374
5297.1865,3.6956978,1.4568532,11.487854,0.083146155
5298.7593,3.706454,1.4844521,11.48151,0.08292789
5300.3315,3.7172441,1.5121139,11.475184,0.08270581
5301.904,3.728071,1.5398479,11.468873,0.082479954
5303.4766,3.7389386,1.5676632,11.462575,0.08225036
5305.049,3.7498407,1.5955434,11.456295,0.08201726
5306.621,3.7607806,1.6234977,11.450029,0.08178069
5308.194,3.7717624,1.6515357,11.443778,0.08154067
5309.766,3.7827792,1.6796405,11.437543,0.08129745
5311.339,3.7938385,1.7078304,11.431322,0.08105098
5312.911,3.8049333,1.7360884,11.425118,0.08080149
5314.4834,3.8160677,1.7644238,11.418929,0.080549
5316.056,3.8272452,1.7928463,11.412754,0.08029353
5317.6284,3.8384593,1.8213387,11.406595,0.080035314
5319.2007,3.8497136,1.8499105,11.400452,0.07977437
5320.7734,3.861012,1.8785714,11.394321,0.07951071
5322.3457,3.8723478,1.9073039,11.388209,0.07924456
5323.918,3.8837245,1.9361176,11.382112,0.07897594
5325.4907,3.8951461,1.9650222,11.376026,0.078704834
5327.063,3.906606,1.9940001,11.369959,0.07843149
5328.6357,3.918111,2.0230699,11.363904,0.078155816
5330.208,3.9296548,2.0522144,11.357867,0.07787807
5331.7803,3.941241,2.0814428,11.351844,0.077598244
5333.353,3.9528732,2.110765,11.345835,0.077316314
5334.9253,3.9645448,2.140163,11.339842,0.07703253
5336.4976,3.9762595,2.1696467,11.333864,0.07674687
5338.0703,3.9880211,2.1992257,11.3279,0.07645933
5339.6426,3.9998226,2.228882,11.321952,0.076170154
5341.215,4.011668,2.2586257,11.316019,0.07587931
5342.7876,4.023561,2.288466,11.310099,0.07558678
5344.36,4.0354943,2.3183851,11.304195,0.07529282
5345.9326,4.0474763,2.348402,11.2983055,0.07499729
5347.505,4.059499,2.3784986,11.292431,0.074700445
5349.077,4.0715666,2.4086845,11.286572,0.074402265
5350.65,4.0836825,2.4389696,11.280726,0.074102715
5352.222,4.0958405,2.4693353,11.274897,0.07380204
5353.7944,4.108044,2.4997919,11.269082,0.07350019
5355.367,4.120297,2.5303485,11.26328,0.07319715
5356.9395,4.1325917,2.5609872,11.257494,0.07289315
5358.5117,4.1449323,2.5917175,11.251722,0.07258815
5360.0845,4.1573234,2.6225495,11.245964,0.07228213
5361.6567,4.1697564,2.653464,11.240221,0.07197531
5363.2295,4.18224,2.6844811,11.234491,0.07166756
5364.802,4.1947665,2.7155814,11.228778,0.07135912
5366.374,4.20734,2.7467752,11.223079,0.07104994
5367.947,4.219964,2.778072,11.217392,0.070739985
5369.519,4.2326317,2.809453,11.211721,0.07042948
5371.0913,4.245346,2.840928,11.206064,0.0701184
5372.664,4.2581124,2.8725076,11.20042,0.06980667
5374.2363,4.2709217,2.9041715,11.194793,0.06949454
5375.8086,4.283779,2.9359303,11.189178,0.06918195
5377.3813,4.296688,2.967794,11.183577,0.06886885
5378.9536,4.309641,2.999743,11.177991,0.06855548
5380.526,4.322642,3.0317872,11.172419,0.06824179
5382.0986,4.3356953,3.0639372,11.166859,0.06792771
5383.671,4.348792,3.0961726,11.161315,0.06761348
5385.2437,4.361942,3.128514,11.155783,0.06729895
5386.816,4.375136,3.1609414,11.150267,0.06698434
5388.388,4.388378,3.1934645,11.144764,0.066669606
5389.961,4.4016733,3.226094,11.139274,0.06635467
5391.533,4.4150124,3.2588096,11.133798,0.066039786
5393.1055,4.4284005,3.2916214,11.128336,0.06572487
5394.678,4.4418416,3.32454,11.122887,0.06540987
5396.2505,4.455327,3.3575444,11.117452,0.06509501
5397.8228,4.4688616,3.3906453,11.112031,0.06478022
5399.3955,4.482449,3.4238527,11.106622,0.06446545
5400.968,4.496081,3.4571462,11.101228,0.064150915
5402.5405,4.509766,3.4905465,11.095845,0.063836455
5404.113,4.523496,3.5240326,11.090477,0.0635223
5405.685,4.537275,3.5576148,11.085123,0.06320837
5407.258,4.5511065,3.5913038,11.079781,0.062894605
5408.83,4.564983,3.6250782,11.074452,0.062581226
5410.4023,4.5789084,3.6589487,11.069138,0.06226816
5411.975,4.592887,3.6929255,11.063834,0.061955344
5413.5474,4.60691,3.7269874,11.058545,0.061642993
5415.1196,4.620982,3.7611446,11.053269,0.061331034
5416.6924,4.635107,3.795408,11.048005,0.0610194
5418.2646,4.6492767,3.8297558,11.042755,0.060708307
5419.8374,4.6634994,3.8642094,11.037516,0.060397584
5421.4097,4.677766,3.898747,11.032291,0.06008745
5422.982,4.6920815,3.933379,11.02708,0.05977783
5424.5547,4.7064495,3.968116,11.021879,0.05946865
5426.127,4.720862,4.0029364,11.016692,0.05916012
5427.699,4.7353225,4.0378504,11.0115185,0.058852173
5429.272,4.7498355,4.0728683,11.006355,0.05854473
5430.844,4.7643924,4.1079683,11.001206,0.058238
5432.4165,4.778997,4.1431613,10.99607,0.05793191
5433.9893,4.7936544,4.1784577,10.990945,0.05762638
5435.5615,4.808355,4.213835,10.985833,0.057321627
5437.1343,4.8231077,4.249315,10.980732,0.05701747
5438.7065,4.837903,4.284875,10.975644,0.05671412
5440.279,4.852746,4.3205256,10.970569,0.0564115
5441.8516,4.867641,4.356278,10.965505,0.056109536
5443.424,4.882578,4.392109,10.960453,0.055808425
5444.996,4.897562,4.4280295,10.955415,0.055508092
5446.569,4.912597,4.4640503,10.950386,0.05520846
5448.141,4.927675,4.500148,10.945371,0.054909725
5449.7134,4.942798,4.5363336,10.940367,0.054611817
5451.286,4.9579725,4.572618,10.935374,0.054314654
5452.8584,4.973188,4.6089783,10.930394,0.05401843
5454.431,4.988454,4.645436,10.925425,0.05372298
5456.0034,5.0037603,4.6819677,10.920468,0.0534285
5457.5757,5.0191126,4.7185845,10.915524,0.053134907
5459.1484,5.0345144,4.755297,10.910588,0.052842125
5460.7207,5.049956,4.792083,10.905666,0.05255035
5462.293,5.0654426,4.8289514,10.900756,0.052259494
5463.8657,5.080978,4.865914,10.895855,0.051969487
5465.438,5.0965524,4.902947,10.890967,0.051680513
5467.0103,5.1121707,4.940061,10.886091,0.0513925
5468.583,5.127837,4.9772673,10.881225,0.051105358
5470.1553,5.1435423,5.014542,10.87637,0.050819285
5471.728,5.159295,5.051907,10.871526,0.05053411
5473.3003,5.1750855,5.089339,10.8666935,0.050250016
5474.8726,5.1909184,5.126848,10.861873,0.049966928
5476.4453,5.206798,5.1644464,10.857061,0.04968476
5478.0176,5.2227144,5.2021084,10.8522625,0.049403697
5479.59,5.2386723,5.239846,10.847474,0.049123667
5481.1626,5.2546763,5.27767,10.842695,0.048844583
5482.735,5.270716,5.3155556,10.837929,0.04856663
5484.307,5.286796,5.3535137,10.833173,0.04828972
5485.88,5.3029213,5.391556,10.828426,0.048013784
5487.452,5.319081,5.429657,10.823691,0.047738995
5489.025,5.335285,5.4678407,10.818966,0.04746519
5490.597,5.351523,5.5060816,10.814253,0.047192544
5492.1694,5.3677998,5.544391,10.809549,0.046920978
5493.742,5.3841195,5.58278,10.804855,0.046650413
5495.3145,5.4004726,5.621224,10.800173,0.04638102
5496.8867,5.416863,5.6597333,10.795501,0.046112724
5498.4595,5.4332952,5.6983194,10.790837,0.04584544
5500.0317,5.4497595,5.7369576,10.786185,0.04557935
5501.604,5.4662595,5.775659,10.781544,0.045314364
5503.177,5.4828014,5.814434,10.776911,0.045050412
5504.749,5.499373,5.8532586,10.772289,0.044787657
5506.3213,5.5159802,5.892143,10.767678,0.04452602
5507.894,5.532627,5.9310985,10.763075,0.044265423
5509.4663,5.549303,5.9701004,10.758484,0.044006035
5511.039,5.566018,6.0091715,10.753901,0.043747693
5512.6113,5.582762,6.048287,10.749328,0.043490566
5514.1836,5.5995383,6.087457,10.744765,0.04323457
5515.7563,5.6163526,6.126694,10.7402115,0.042979635
5517.3286,5.633194,6.165972,10.735668,0.042725917
5518.901,5.6500673,6.2053022,10.731135,0.04247334
5520.4736,5.666977,6.244696,10.726609,0.042221826
5522.046,5.6839123,6.2841277,10.7220955,0.041971534
5523.618,5.700878,6.323609,10.71759,0.041722387
5525.191,5.7178793,6.3631506,10.713093,0.041474313
5526.763,5.7349052,6.402727,10.708607,0.04122746
5528.336,5.751965,6.442362,10.704128,0.04098168
5529.908,5.7690487,6.48203,10.69966,0.040737126
5531.4805,5.7861605,6.5217423,10.695202,0.040493727
5533.053,5.803305,6.5615096,10.690751,0.0402514
5534.6255,5.8204722,6.6013074,10.68631,0.0400103
5536.1978,5.8376665,6.641146,10.681879,0.03977035
5537.7705,5.8548927,6.6810374,10.677455,0.03953148
5539.343,5.8721395,6.7209554,10.673041,0.039293833
5540.915,5.889412,6.7609115,10.668636,0.03905734
5542.488,5.906715,6.8009176,10.664239,0.038821924
5544.06,5.924037,6.840947,10.659852,0.038587734
5545.633,5.9413896,6.8810244,10.655472,0.03835462
5547.205,5.9587603,6.9211235,10.651102,0.03812273
5548.7773,5.9761543,6.9612556,10.646741,0.037891984
5550.35,5.993577,7.0014324,10.642387,0.037662316
5551.9224,6.011017,7.0416284,10.638043,0.03743387
5553.4946,6.028479,7.0818543,10.633707,0.037206568
5555.0674,6.0459685,7.1221223,10.629378,0.03698034
5556.6396,6.0634737,7.1624064,10.62506,0.036755323
5558.212,6.081,7.202718,10.620749,0.03653145
5559.7847,6.0985518,7.243068,10.616446,0.036308646
5561.357,6.1161184,7.2834315,10.612152,0.036087055
5562.9297,6.1337104,7.3238325,10.607865,0.03586653
5564.502,6.151316,7.3642445,10.603587,0.035647206
5566.074,6.1689405,7.4046793,10.5993185,0.035429016
5567.647,6.1865892,7.445149,10.595056,0.03521189
5569.219,6.2042503,7.485627,10.590802,0.034995962
5570.7915,6.221929,7.5261254,10.586556,0.034781158
5572.3643,6.2396307,7.5666556,10.582317,0.034567416
5573.9365,6.2573433,7.6071916,10.578088,0.03435486
5575.509,6.2750726,7.6477456,10.573866,0.034143426
5577.0815,6.292824,7.688329,10.569651,0.033933043
5578.654,6.310585,7.728916,10.565444,0.03372384
5580.2266,6.328367,7.769531,10.561244,0.033515684
5581.799,6.346159,7.8101473,10.557053,0.033308703
5583.371,6.363965,7.8507776,10.552869,0.033102833
5584.944,6.3817916,7.8914337,10.548692,0.032897998
