time,true_waveform_real,true_waveform_imag,pred_waveform_real,pred_waveform_imag,error_real,error_imag
5209.13,-0.11923579911814348,-0.0,-0.12872266360823395,-0.0005032280038820271,0.009486864490090466,-0.0
5210.702,-0.11801615810339616,-0.0,-0.12755174285553994,0.009770776985341931,0.009535584752143778,-0.0
5212.275,-0.11617366780781871,-0.0,-0.12638082210284818,0.02004478197456589,0.01020715429502947,-0.0
5213.847,-0.1137430165451621,-0.0,-0.12470812481838142,0.028579417229941995,0.010965108273219323,-0.0
5215.4194,-0.110700132289236,-0.0,-0.12253792521534967,0.03700568198277506,0.011837792926113672,-0.0
5216.992,-0.10709169996067262,-0.0,-0.11918473026943766,0.04680130842119595,0.012093030308765032,-0.0
5218.5645,-0.10291916509042584,-0.0,-0.11597700235860633,0.054312862034795836,0.013057837268180494,-0.0
5220.137,-0.0982071621071114,-0.0,-0.11123569552702857,0.06352959468541605,0.013028533419917165,-0.0
5221.7095,-0.0929875515733245,-0.0,-0.10663564566537288,0.07094059277961491,0.013648094092048382,-0.0
5223.2817,-0.08726744071334891,-0.0,-0.10161586572937324,0.07808112356732957,0.014348425016024333,-0.0
5224.8545,-0.08110026383849231,-0.0,-0.09497955355876035,0.08606402903991082,0.013879289720268043,-0.0
5226.427,-0.07449212236900715,-0.0,-0.08889469732978642,0.09233716425184063,0.014402574960779263,-0.0
5227.999,-0.06749960554997995,-0.0,-0.08242930865025463,0.09821655089978695,0.01492970310027468,-0.0
5229.572,-0.060142661261832105,-0.0,-0.07422598595869133,0.10461391353427431,0.014083324696859224,-0.0
5231.144,-0.05246746803878539,-0.0,-0.06690722228695738,0.10940706090553055,0.014439754248171989,-0.0
5232.7163,-0.04451639416858588,-0.0,-0.05931914795113449,0.1137883756074321,0.014802753782548611,-0.0
5234.289,-0.036316079547883975,-0.0,-0.049902233156784846,0.11824389875416251,0.01358615360890087,-0.0
5235.8613,-0.02792683573978165,-0.0,-0.04224190014704746,0.12122618370614796,0.014315064407265814,-0.0
5237.434,-0.019379163252144116,-0.0,-0.03227770517373777,0.12427268129890479,0.012898541921593655,-0.0
5239.0063,-0.010726621097618894,-0.0,-0.023707079589323082,0.1261756071754455,0.012980458491704188,-0.0
5240.5786,-0.0020106667928567945,-0.0,-0.01502500283309597,0.12758177983160393,0.013014336040239174,-0.0
5242.1514,0.006725453306952848,0.0,-0.00463525544501209,0.12839719129892913,0.011360708751964939,0.0
5243.7236,0.01543153094970616,0.0,0.0041821497014223954,0.12840376073592302,0.011249381248283764,0.0
5245.296,0.024061426994568258,0.0,0.012958316704093448,0.12788675194854798,0.01110311029047481,0.0
5246.8687,0.03257596314500147,0.0,0.023307144326064528,0.1264302079886894,0.00926881881893694,0.0
5248.441,0.04092358836945393,0.0,0.03191353031146604,0.12453409370633166,0.009010058057987887,0.0
5250.013,0.04905861583324312,0.0,0.040401087083406756,0.12211075408187677,0.008657528749836364,0.0
