time,true_orbit_x1,true_orbit_y1,true_orbit_x2,true_orbit_y2,pred_orbit_x1,pred_orbit_y1,pred_orbit_x2,pred_orbit_y2
5209.13,6.185810248690702,0.0007995994061765418,-6.185828914235757,-0.0007996018461675306,6.1856184005737305,0.0,-6.1856184005737305,-0.0
5210.702,6.180395994371949,0.22343144091642675,-6.180414655653123,-0.2234321155818458,6.180079936981201,0.22322861850261688,-6.180079936981201,-0.22322861850261688
5212.275,6.166978078758163,0.4458205251845776,-6.16699671063295,-0.4458218721432385,6.166477680206299,0.4462066888809204,-6.166477680206299,-0.4462066888809204
5213.847,6.145577499674855,0.6675417405810407,-6.145596080975389,-0.6675437589162089,6.144832611083984,0.668504536151886,-6.144832611083984,-0.668504536151886
5215.4194,6.116214184117585,0.8883776430676303,-6.116232685424917,-0.8883803303934711,6.115166187286377,0.889900803565979,-6.115166187286377,-0.889900803565979
5216.992,6.078908871641053,1.1081105306978185,-6.078927272141349,-1.1081138848839547,6.077500343322754,1.1101739406585693,-6.077500343322754,-1.1101739406585693
5218.5645,6.0336252165070485,1.326296532649448,-6.033643482398774,-1.3263005478160423,6.031901836395264,1.3288984298706055,-6.031901836395264,-1.3288984298706055
5220.137,5.98048051770562,1.5428002684204678,-5.980498632479192,-1.5428049415424459,5.978398323059082,1.5459227561950684,-5.978398323059082,-1.5459227561950684
5221.7095,5.919584941046547,1.7572084949922635,-5.9196028846888895,-1.757213821531876,5.917088031768799,1.7608269453048706,-5.917088031768799,-1.7608269453048706
5223.2817,5.850997255730585,1.9693097500378103,-5.851015005733769,-1.9693157242864758,5.848032474517822,1.9733961820602417,-5.848032474517822,-1.9733961820602417
5224.8545,5.774777135537381,2.1788924497128916,-5.774794661787241,-2.1788990626039526,5.771292209625244,2.183414936065674,-5.771292209625244,-2.183414936065674
5226.427,5.69106603170137,2.385553028063956,-5.691083308812996,-2.385560270190077,5.687012195587158,2.3904759883880615,-5.687012195587158,-2.3904759883880615
5227.999,5.599945630762145,2.5890870291480694,-5.599962647300169,-2.5890948965991414,5.595274448394775,2.5943706035614014,-5.595274448394775,-2.5943706035614014
5229.572,5.5013941431706135,2.789236946058462,-5.5014108697288675,-2.7892454265204045,5.4961652755737305,2.7948923110961914,-5.4961652755737305,-2.7948923110961914
5231.144,5.395702789492846,2.98566131711445,-5.395719201853317,-2.985670398725218,5.389870643615723,2.9916491508483887,-5.389870643615723,-2.9916491508483887
5232.7163,5.282976470756636,3.1781657060699176,-5.282992548076713,-3.178175377947006,5.276497840881348,3.1844444274902344,-5.276497840881348,-3.1844444274902344
5234.289,5.163319595153819,3.3665550840374054,-5.163335320077936,-3.366565336914279,5.156152725219727,3.3730790615081787,-5.156152725219727,-3.3730790615081787
5235.8613,5.036958184184547,3.5504646260948056,-5.036973533080839,-3.550475445274065,5.02906608581543,3.557184934616089,-5.02906608581543,-3.557184934616089
5237.434,4.903974676482488,3.72976617427867,-4.903989627481937,-3.7297775454269564,4.895321846008301,3.736630916595459,-4.895321846008301,-3.736630916595459
5239.0063,4.764612699286795,3.9041048424889833,-4.764627234427136,-3.9041167525247276,4.755176544189453,3.911067008972168,-4.755176544189453,-3.911067008972168
5240.5786,4.618937672991732,4.073241167164295,-4.6189517720065245,-4.073253600480788,4.608770847320557,4.080316543579102,-4.608770847320557,-4.080316543579102
5242.1514,4.4671736157205055,4.237066760926622,-4.467187259130089,-4.237079701565558,4.4562458992004395,4.244201183319092,-4.4562458992004395,-4.244201183319092
5243.7236,4.309609839728909,4.395262892176845,-4.3096230093695,-4.39527632357533,4.297894477844238,4.402401924133301,-4.297894477844238,-4.402401924133301
5245.296,4.146402558672498,4.5476708441961495,-4.146415236616262,-4.547684749061043,4.133877754211426,4.554755687713623,-4.133877754211426,-4.554755687713623
5246.8687,3.9777089141070108,4.69413230125619,-3.9777210792863884,-4.694146657484313,3.964354991912842,4.7011027336120605,-3.964354991912842,-4.7011027336120605
5248.441,3.803851115879697,4.83436065344298,-3.803862758958153,-4.834375450795872,3.789653778076172,4.841156005859375,-3.789653778076172,-4.841156005859375
5250.013,3.624989636152348,4.968197248633256,-3.6250007387505065,-4.9682124652019235,3.609950065612793,4.974771499633789,-3.609950065612793,-4.974771499633789
